Référence;Semaine;Client;Besoin;Dispo_TIS;PDP;DISPO_IDL;SS;LeadTime_Semaine;CA_unitaire
SEL9652183LF;WK49;SCH MIC-PX30;0;0;390;0;100;2;
ARE2071469A02LF;WK49;SCH MIC-C264;0;0;0;0;100;2;
SEL2071652LF;WK49;SCH MIC-C264;0;0;0;0;100;2;
SELGN0014002LF;WK49;SCH MIC-PX40;0;0;0;0;100;2;
SEL2070962LF;WK49;SCH MIC-C264;0;0;0;0;100;2;
SEL336973LF;WK49;SCH MIC-PX30;0;0;310;0;100;2;
SEL9650306LF;WK49;SCH MIC-PX30;0;0;180;0;100;2;
SEL9651548LF;WK49;SCH MIC-PX30;0;0;78;0;100;1;
SEL2071004LF;WK49;SCH MIC-C264;0;0;0;0;100;2;
SEL2072035A01LF;WK49;SCH MIC-PX40;0;0;109;0;100;2;
SELE2070879A02LF;WK49;SCH MIC-C264;0;0;0;0;100;2;
SEL2071960A25LF;WK49;SCH MIC-PX40;0;0;0;0;200;2;
SEL9651521LF;WK49;SCH MIC-PX30;0;0;0;0;100;2;
SEL2072174A01LF;WK49;SCH MIC-PX40;0;0;12;0;100;2;
SEL9651520LF;WK49;SCH MIC-PX30;0;0;0;0;100;1;
SEL9651332LF;WK49;SCH MIC-PX30;0;0;0;0;100;1;
SELGN0067003LF;WK49;SCH MIC-PX40;0;0;0;0;100;1;
SEL2072114A01LF;WK49;SCH MIC-PX40;0;0;10;0;100;1;
SEL45196503A02LF;WK49;SCH MIC-C264;0;0;0;0;100;1;
SELE2070879A01LF;WK49;SCH MIC-C264;0;0;0;0;100;1;
SEL2070966LF;WK49;SCH MIC-C264;0;0;0;0;100;2;
SELGN0014004LF;WK49;SCH MIC-PX40;0;0;0;0;100;2;
SEL9651537LF;WK49;SCH MIC-PX30;0;0;0;0;100;2;
SELGN0014006LF;WK49;SCH MIC-PX40;0;0;0;0;100;2;
ARE2071715A02;WK49;SCH MIC-PX20;0;0;0;0;100;2;
ARE2071715A05;WK49;SCH MIC-PX20;0;0;10;0;100;2;
ARE2071717A15;WK49;SCH MIC-PX20;0;0;0;0;100;2;
ARE2071717A14;WK49;SCH MIC-PX20;0;0;0;0;100;1;
SEL9651538LF;WK49;SCH MIC-PX30;0;0;0;0;100;1;
ARE2071715A04;WK49;SCH MIC-PX20;0;0;0;0;100;1;
SEL2072037A01LF;WK49;SCH MIC-PX40;0;0;8;0;100;1;
SEL9651547LF;WK49;SCH MIC-PX30;0;0;0;0;100;1;
SELZN0022001LF;WK49;SCH MIC-PX40;0;0;60;0;100;1;
SELNVE10000;WK49;SCH MIC-PX40;0;0;0;0;100;1;
SEL45196501A01LF;WK49;SCH MIC-C264;0;0;0;0;100;1;
SELZN0125001LF;WK49;SCH MIC-PX40;0;0;0;0;100;1;
SEL9650426LF;WK49;SCH MIC-PX30;0;0;0;0;100;2;
ARE2071717A06;WK49;SCH MIC-PX20;0;0;0;0;100;2;
SELE2070879A04LF;WK49;SCH MIC-C264;0;0;0;0;100;2;
c;WK49;#N/A;0;0;0;0;100;2;
c;WK49;#N/A;0;0;0;0;100;2;
ARE2071469A03LF;WK49;SCH MIC-C264;0;0;0;0;100;2;
ARE2071469A04LF;WK49;SCH MIC-C264;0;0;0;0;100;2;
ARE2071613A01LF;WK49;SCH MIC-C264;0;0;0;0;100;1;
SEL2071864A02LF;WK49;SCH MIC-C264;0;0;0;0;100;2;
SEL2072141A01LF;WK49;SCH MIC-C264;0;0;0;0;100;2;
SEL2071864A03LF;WK49;SCH MIC-C264;0;0;0;0;100;2;
SEL2071860A04LF;WK49;SCH MIC-C264;0;0;0;0;100;2;
SEL2071942LF;WK49;SCH MIC-C264;0;0;0;0;100;2;
SEL2071860A01LF;WK49;SCH MIC-C264;0;0;0;0;100;2;
SEL2070871LF;WK49;SCH MIC-C264;0;0;0;0;100;2;
SEL2071600A01LF;WK49;SCH MIC-C264;0;0;0;0;100;2;
SEL9651539LF;WK49;#N/A;0;0;0;0;100;2;
SEL336188LF;WK49;SCH MIC-PX30;0;0;0;0;100;2;
SEL2071010LF;WK49;SCH MIC-C264;0;0;0;0;100;2;
SEL9650668LF;WK49;SCH MIC-PX30;0;0;0;0;100;2;
SEL9651491LF;WK49;SCH MIC-PX30;0;0;0;0;100;2;
ARE9651512LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SELZN0125002LF;WK49;SCH MIC-PX40;0;0;0;0;100;;
SEL2071960A23LF;WK49;SCH MIC-PX40;0;0;0;0;200;;
SEL9651514LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SEL9651546LF;WK49;SCH MIC-PX30;0;0;24;0;100;;
SELGN0014007LF;WK49;SCH MIC-PX40;0;0;0;0;100;;
SELGN0018003LF;WK49;SCH MIC-PX40;0;0;0;0;100;;
SEL9651549LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SEL9651360LF;WK49;SCH MIC-PX30;0;0;130;0;100;;
SEL2072036A01LF;WK49;SCH MIC-PX40;0;0;0;0;100;;
SELGN0067004LF;WK49;SCH MIC-PX40;0;0;0;0;100;;
SEL9650425LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SEL9651362LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SEL9651536LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SELGN0014018LF;WK49;SCH MIC-PX40;0;0;0;0;100;;
SELGN0067001LF;WK49;SCH MIC-PX40;0;0;0;0;100;;
SEL9651518LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SEL9651516LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SEL9652192LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SELZN0044001LF;WK49;SCH MIC-PX40;0;0;0;0;100;;
SEL9650673LF;WK49;SCH MIC-PX30;0;0;80;0;100;;
SEL9652193LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SEL9651517LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SEL9651306LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SEL9651513LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SEL9651305LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SEL9650356LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SELGN0014009LF;WK49;SCH MIC-PX40;0;0;4;0;100;;
SEL2072043A04LF;WK49;SCH MIC-PX40;0;0;0;0;100;;
SELGN0014013LF;WK49;SCH MIC-PX40;0;0;0;0;100;;
SEL337612LF;WK49;SCH MIC-PX30;0;0;170;0;100;;
SELZN0128011LF;WK49;SCH MIC-PX40;0;0;0;0;100;;
SEL2072043A01LF;WK49;SCH MIC-PX40;0;0;4;0;100;;
SEL9651519LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SELNVE10002;WK49;SCH MIC-PX40;0;0;0;0;100;;
SEL2071732LF;WK49;SCH MIC-C264;0;0;0;0;100;;
SELNVE32375;WK49;SCH MIC-PX40;0;0;0;0;100;;
SELGN0018002LF;WK49;SCH MIC-PX40;0;0;4;0;100;;
SEL2071860A02LF;WK49;SCH MIC-C264;0;0;0;0;100;;
SEL9650427LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SEL9650423LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SELGN0014005LF;WK49;SCH MIC-PX40;0;0;36;0;100;;
SELGN0014001LF;WK49;SCH MIC-PX40;0;0;8;0;100;;
SEL2071603A01LF;WK49;SCH MIC-C264;0;0;0;0;100;;
SEL337377LF;WK49;SCH MIC-PX30;0;0;440;0;100;;
SELGN0067005LF;WK49;SCH MIC-PX40;0;0;20;0;100;;
SEL2071941LF;WK49;SCH MIC-C264;0;0;0;0;100;;
SEL9651534LF;WK49;SCH MIC-PX30;0;0;0;0;100;;
SEL9651443LF;WK49;SCH MIC-PX30;0;0;120;0;100;;
SELNVE32374;WK49;SCH MIC-PX40;0;0;0;0;100;;
SEL2071962A01LF;WK49;SCH MIC-PX40;0;0;0;0;300;2;
SEL337870LF;WK49;SCH MIC-PX30;0;0;60;0;100;;
SEL2071964A02LF;WK49;SCH MIC-PX40;0;0;80;0;200;;
SEL2072034A01LF;WK49;SCH MIC-PX40;0;0;56;0;100;;
SEL2071964A03LF;WK49;SCH MIC-PX40;0;0;10;0;200;;
SEL2071960A22LF;WK49;SCH MIC-PX40;0;0;5;0;200;;
SEL45196503A03LF;WK49;SCH MIC-C264;0;0;0;0;100;;
;;;;;;0;100;;
SELNVE32376;WK50;SCH MIC-PX40;0;0;0;0;100;1;
SELZN0007001LF;WK50;SCH MIC-PX40;0;0;0;0;100;1;
SEL2072043A03LF;WK50;SCH MIC-PX40;0;0;0;0;100;1;
SEL2071960A21LF;WK50;SCH MIC-PX40;0;0;0;0;200;2;
SEL9651445LF;WK50;SCH MIC-PX30;0;0;0;0;100;1;
SEL9651334LF;WK50;SCH MIC-PX30;0;0;0;0;100;1;
SEL9651333LF;WK50;SCH MIC-PX30;0;0;0;0;100;1;
SEL45196503A01LF;WK50;SCH MIC-C264;0;0;0;0;100;1;
SEL9651444LF;WK50;SCH MIC-PX30;0;0;0;0;100;1;
SEL9651304LF;WK50;SCH MIC-PX30;0;0;0;0;100;1;
SEL2072033A01LF;WK50;SCH MIC-PX40;501;0;0;0;100;1;
SELT071613A01LF;WK50;SCH MIC-C264;0;0;0;0;100;1;
SELZN0044002LF;WK50;SCH MIC-PX40;0;0;0;0;100;1;
SEL2071960A27LF;WK50;SCH MIC-PX40;0;0;0;0;200;1;
SEL9651515LF;WK50;SCH MIC-PX30;0;0;0;0;100;1;
SEL9651361LF;WK50;SCH MIC-PX30;0;0;0;0;100;1;
SEL9650669LF;WK50;SCH MIC-PX30;0;0;0;0;100;1;
SEL9650424LF;WK50;SCH MIC-PX30;0;162;0;0;100;1;
SEL336421LF;WK50;SCH MIC-PX30;0;42;0;0;100;1;
SELGN0014010LF;WK50;SCH MIC-PX40;0;0;0;0;100;1;
SEL2071966A01LF;WK50;SCH MIC-PX40;0;0;0;0;100;1;
SEL9650355LF;WK50;SCH MIC-PX30;0;0;0;0;100;1;
SEL45196503A04LF;WK50;SCH MIC-C264;160;0;0;0;100;1;
SEL336971LF;WK50;SCH MIC-PX30;0;0;0;0;100;1;
SEL2071964A05LF;WK50;SCH MIC-PX40;0;0;0;0;200;1;
SEL9650354LF;WK50;SCH MIC-PX30;0;0;0;0;100;1;
SELGN0014003LF;WK50;SCH MIC-PX40;36;0;0;0;100;2;
SEL2071937A01LF;WK50;SCH MIC-C264;0;0;0;0;100;2;
ARE2071717A05;WK50;SCH MIC-PX20;0;0;0;0;100;2;
SEL336187LF;WK50;SCH MIC-PX30;300;140;0;0;100;2;
SEL2071669LF;WK50;SCH MIC-C264;0;0;0;0;100;2;
SEL2071730A01LF;WK50;SCH MIC-C264;80;0;0;0;100;2;
SELE2070879A03LF;WK50;SCH MIC-C264;20;0;0;0;100;2;
SEL9651544LF;WK50;SCH MIC-PX30;0;0;0;0;100;2;
SEL9652182LF;WK50;SCH MIC-PX30;0;0;0;0;100;2;
SEL9652183LF;WK50;SCH MIC-PX30;0;0;0;0;100;2;
ARE2071469A02LF;WK50;SCH MIC-C264;50;0;0;0;100;2;
SEL2071652LF;WK50;SCH MIC-C264;0;0;0;0;100;2;
SELGN0014002LF;WK50;SCH MIC-PX40;0;0;0;0;100;2;
SEL2070962LF;WK50;SCH MIC-C264;0;0;0;0;100;2;
SEL336973LF;WK50;SCH MIC-PX30;0;0;0;0;100;2;
SEL9650306LF;WK50;SCH MIC-PX30;0;0;0;0;100;2;
SEL9651548LF;WK50;SCH MIC-PX30;0;0;0;0;100;1;
SEL2071004LF;WK50;SCH MIC-C264;0;0;0;0;100;2;
SEL2072035A01LF;WK50;SCH MIC-PX40;16;0;0;0;100;2;
SELE2070879A02LF;WK50;SCH MIC-C264;80;0;0;0;100;2;
SEL2071960A25LF;WK50;SCH MIC-PX40;40;0;0;0;200;2;
SEL9651521LF;WK50;SCH MIC-PX30;0;0;0;0;100;2;
